Date,Close_AAPL,Close_AMZN,Close_GOOG,Close_MRK,Close_UNH
01-10-2010,10.09,153.710007,261.828613,36.599998,35.43
04-10-2010,9.951428,155.389999,260.199707,36.52,34.540001
05-10-2010,10.319285,160.869995,268.110046,37.02,35.07
06-10-2010,10.328215,155.399994,266.177307,37.009998,33.950001
07-10-2010,10.329286,156.270004,264.015411,36.709999,34.34
08-10-2010,10.5025,155.550003,267.173553,36.91,34.349998
11-10-2010,10.548572,153.029999,268.41391,36.860001,34.650002
12-10-2010,10.662143,156.479996,269.684143,36.639999,35.02
13-10-2010,10.719286,155.169998,270.63559,37.16,35.32
14-10-2010,10.796785,155.529999,269.455017,37.150002,35.779999
15-10-2010,11.240714,164.639999,299.60202,36.950001,35.98
18-10-2010,11.357142,163.559998,307.70166,37.23,36.25
19-10-2010,11.053214,158.669998,302.780121,36.52,35.299999
20-10-2010,11.090357,158.669998,302.854828,36.990002,36.73
21-10-2010,11.054286,164.970001,304.852325,37.099998,36.490002
22-10-2010,10.981071,169.130005,305.121338,37.099998,37.259998
25-10-2010,11.03,169,307.098907,37.419998,37.560001
26-10-2010,11.001785,169.949997,308.144989,37.07,37.57
27-10-2010,10.993929,167.509995,307.083984,36.459999,35.93
28-10-2010,10.901428,166.839996,308.13504,36.939999,36.25
29-10-2010,10.749286,165.229996,305.704132,36.310001,36.049999
01-11-2010,10.863571,162.580002,306.351715,36.25,36.110001
02-11-2010,11.048572,164.610001,306.650604,36.610001,37
03-11-2010,11.171429,168.470001,308.932037,36.509998,36.66
04-11-2010,11.366786,168.929993,310.969421,36.650002,36.799999
05-11-2010,11.326072,170.770004,311.372894,35.700001,36.860001
08-11-2010,11.379286,171.990005,312.214752,35.619999,37.119999
09-11-2010,11.288571,170.270004,311.243378,35.049999,36.98
10-11-2010,11.358214,173.330002,310.277008,34.959999,37.16
11-11-2010,11.308928,170.369995,307.442627,35.209999,37.470001
12-11-2010,11.001071,165.679993,300.518585,34.709999,36.669998
15-11-2010,10.965714,158.899994,296.623169,34.540001,35.470001
16-11-2010,10.771071,157.779999,290.770111,34.099998,35.009998
17-11-2010,10.732142,158.350006,290.685425,34.470001,35.330002
18-11-2010,11.015357,164.169998,297.166138,35.290001,35.630001
